DATE,AvgTemp
11-06-2017,53
11-07-2017,52
11-08-2017,51
11-09-2017,49
11-10-2017,48
11-11-2017,46
11-12-2017,42
11/13/2017,42
11/14/2017,43
11/15/2017,43
11/16/2017,41
11/17/2017,43
11/18/2017,43
11/19/2017,42
11/20/2017,42
11/21/2017,41
11/22/2017,41
11/23/2017,39
11/24/2017,43
11/25/2017,40
11/26/2017,41
11/27/2017,40
11/28/2017,44
11/29/2017,44
11/30/2017,43
12-01-2017,44
12-02-2017,40
12-03-2017,43
12-04-2017,45
12-05-2017,41
12-06-2017,40
12-07-2017,42
12-08-2017,43
12-09-2017,48
12-10-2017,44
12-11-2017,44
12-12-2017,46
12/13/2017,39
12/14/2017,38
12/15/2017,38
12/16/2017,41
12/17/2017,44
12/18/2017,43
12/19/2017,39
12/20/2017,36
12/21/2017,36
12/22/2017,40
12/23/2017,43
12/24/2017,45
12/25/2017,42
12/26/2017,44
12/27/2017,45
12/28/2017,43
12/29/2017,43
12/30/2017,44
12/31/2017,44
01-01-2018,44
01-02-2018,44
01-03-2018,42
01-04-2018,47
01-05-2018,47
01-06-2018,49
01-07-2018,46
01-08-2018,47
01-09-2018,42
01-10-2018,39
01-11-2018,39
01-12-2018,42
1/13/2018,45
1/14/2018,46
1/15/2018,45
1/16/2018,47
1/17/2018,47
1/18/2018,45
1/19/2018,46
1/20/2018,42
1/21/2018,41
1/22/2018,41
1/23/2018,40
1/24/2018,41
1/25/2018,40
1/26/2018,39
1/27/2018,39
1/28/2018,38
1/29/2018,39
1/30/2018,42
1/31/2018,40
02-01-2018,43
02-02-2018,44
02-03-2018,44
02-04-2018,42
02-05-2018,40
02-06-2018,36
02-07-2018,35
02-08-2018,38
02-09-2018,37
02-10-2018,39
02-11-2018,42
02-12-2018,44
2/13/2018,48
2/14/2018,48
2/15/2018,48
2/16/2018,47
2/17/2018,38
2/18/2018,40
2/19/2018,37
2/20/2018,39
2/21/2018,41
2/22/2018,38
2/23/2018,40
2/24/2018,43
2/25/2018,42
2/26/2018,43
2/27/2018,44
2/28/2018,48
03-01-2018,47
03-02-2018,47
03-03-2018,46
03-04-2018,46
03-05-2018,40
03-06-2018,39
03-07-2018,37
03-08-2018,38
03-09-2018,40
03-10-2018,42
03-11-2018,44
03-12-2018,42
3/13/2018,41
3/14/2018,44
3/15/2018,42
3/16/2018,42
3/17/2018,44
3/18/2018,44
3/19/2018,42
3/20/2018,40
3/21/2018,42
3/22/2018,41
3/23/2018,44
3/24/2018,38
3/25/2018,42
3/26/2018,40
3/27/2018,43
